,ABANY,ABDEFECT,ABFELEGL,ABHELP1,ABHELP2,ABHELP3,ABHELP4,ABHLTH,ABINSPAY,ABMEDGOV1,ABMEDGOV2,ABMELEGL,ABMORAL,ABNOMORE,ABPOOR,ABPOORW,ABRAPE,ABSINGLE,ABSTATE1,ABSTATE2,ACQNTSEX,ACTSSOC,adminconsent,ADULTS,ADVFRONT
12,NA,NA,It depends,Yes,No,No,Yes,NA,NA,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Good,R consents to possible data linkage,1,NA
13,NO,YES,It depends,No,No,No,No,YES,NA,A woman and her medical professional should decide,NA,NA,It depends,NO,NO,ALWAYS WRONG,YES,NO,Very easy,Make it harder,NA,Good,R consents to possible data linkage,1,Agree
14,YES,YES,NA,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,YES,YES,NA,YES,YES,NA,Make it easier,NA,Very good,R does not consent to possible data linkage,2,NA
15,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Very easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,3,Strongly agree
16,NO,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Morally opposed,YES,NO,ALWAYS WRONG,YES,NO,NA,NA,NA,Very good,R does not consent to possible data linkage,2,Agree
17,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,NA,NA,NA,NA,NA,NA,NA,NA,Good,R does not consent to possible data linkage,2,NA
18,NO,NA,It depends,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NO,NO,ALWAYS WRONG,YES,NO,NA,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,Agree
19,YES,YES,Should,Yes,No,No,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NA,YES,YES,Very easy,Make it easier,NA,Excellent,R does not consent to possible data linkage,1,NA
20,NA,NA,NA,No,No,No,No,NA,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Hard,Make it easier,NOT SELECTED,Good,R consents to possible data linkage,4,NA
21,NO,NO,It depends,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,ALMOST ALWAYS WRONG,YES,NO,Easy,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,Agree
22,NA,NA,NA,Yes,No,Yes,Yes,NA,NA,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,NA,NA,NA,Easy,NA,NA,Good,R does not consent to possible data linkage,3,NA
23,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,The government should decide,NA,NA,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Agree
24,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Neither easy nor hard,Make it easier,NA,Excellent,R does not consent to possible data linkage,2,Strongly agree
25,NO,NO,It depends,No,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Easy,Make it harder,NA,Good,R does not consent to possible data linkage,2,Strongly agree
26,NO,YES,NA,No,No,Yes,Yes,NO,People should not be able,A woman and her medical professional should decide,NA,It depends,It depends,YES,NO,NA,YES,NO,NA,NA,NA,Very good,R does not consent to possible data linkage,1,NA
27,YES,YES,Should,Yes,No,Yes,Yes,YES,NA,A woman and her medical professional should decide,NA,NA,Morally opposed,YES,NO,ALWAYS WRONG,YES,YES,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,1,Agree
28,NO,YES,Should not,No,No,No,No,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NA,NO,NA,NA,NO,Easy,Make it harder,NA,Very good,R does not consent to possible data linkage,1,NA
29,NA,NA,Should not,No,No,No,No,NA,People should not be able,The government should decide,NA,NA,Morally opposed,NA,NA,ALMOST ALWAYS WRONG,NA,NA,Very hard,Make it harder,NA,Excellent,R does not consent to possible data linkage,2,Agree
30,NO,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,It depends,It depends,NO,NO,NA,NO,NO,Very hard,Stay the same as now,NA,Excellent,R consents to possible data linkage,3,NA
31,NA,NA,It depends,No,No,No,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
32,NO,NO,NA,Yes,No,Yes,Yes,NO,People should not be able,NA,A woman and her medical professional should decide,Should,Morally opposed,NO,NO,NA,NO,NO,Easy,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,NA
33,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,Agree
34,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Neither easy nor hard,Make it easier,NA,Fair,R consents to possible data linkage,1,Strongly agree
35,NA,NA,It depends,Yes,No,NA,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,ALWAYS WRONG,NA,NA,Easy,NA,NA,Excellent,R consents to possible data linkage,1,Agree
36,YES,YES,NA,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Morally opposed,YES,YES,NA,YES,YES,Very easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
37,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,NA,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,Strongly agree
38,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Hard,Make it easier,NOT SELECTED,Very good,R does not consent to possible data linkage,1,NA
39,NA,NA,NA,NA,NA,NA,Yes,NA,NA,A woman and her medical professional should decide,NA,It depends,It depends,NA,NA,ALWAYS WRONG,NA,NA,NA,NA,NA,Good,R does not consent to possible data linkage,1,Strongly agree
40,YES,YES,Should,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,YES,YES,NA,YES,YES,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,1,Agree
41,NA,NA,Should,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,NA,NA,NA,NA,NA,NA,Make it easier,NA,Very good,R consents to possible data linkage,1,NA
42,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Make it easier,NA,Good,R does not consent to possible data linkage,2,Agree
43,NA,NA,Should,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,NA
44,YES,YES,NA,Yes,NA,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,It depends,YES,YES,NA,YES,YES,Neither easy nor hard,NA,NA,Very good,R does not consent to possible data linkage,2,NA
45,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NO,NO,NA,YES,NO,Very easy,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,NA
46,NA,NA,It depends,Yes,Yes,No,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Very easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,NA
47,NA,NA,NA,Yes,No,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,Should,Morally opposed,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Agree
48,NA,NA,It depends,Yes,Yes,Yes,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,3,NA
49,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,NA,Make it easier,NA,Very good,R does not consent to possible data linkage,1,Agree
50,NO,YES,Should,Yes,No,No,NA,YES,NA,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,ALMOST ALWAYS WRONG,YES,NO,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Agree
51,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,It depends,YES,YES,NA,YES,YES,Easy,Make it easier,NA,Fair,R does not consent to possible data linkage,4,NA
52,NA,YES,It depends,NA,NA,NA,Yes,YES,NA,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,NA,YES,NA,NA,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Strongly agree
53,NA,NA,Should,NA,NA,Yes,Yes,NA,NA,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Fair,R does not consent to possible data linkage,1,Strongly agree
54,YES,YES,It depends,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,NO,NA,YES,YES,NA,NA,NA,Very good,R does not consent to possible data linkage,2,NA
55,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,Morally opposed,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,NA
56,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
57,NA,NA,Should,Yes,No,Yes,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,Very easy,NA,NA,Excellent,R does not consent to possible data linkage,2,Disagree
58,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,NA,Make it easier,NA,Good,R does not consent to possible data linkage,2,Agree
59,NO,NO,NA,NA,NA,NA,NA,YES,NA,NA,NA,NA,NA,NO,NO,NA,YES,NO,NA,NA,NA,Good,R does not consent to possible data linkage,4,NA
60,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NA,NA,NA,NA,NA,Very easy,Stay the same as now,NOT SELECTED,Poor,R consents to possible data linkage,1,NA
61,NA,YES,Should not,No,No,No,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,ALWAYS WRONG,NA,NO,Very easy,Make it harder,NA,Good,R does not consent to possible data linkage,2,Agree
62,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,Easy,Make it easier,NA,Fair,R consents to possible data linkage,2,Strongly agree
63,YES,YES,It depends,No,No,No,No,YES,People should not be able,The government should decide,NA,NA,It depends,NO,NO,ALMOST ALWAYS WRONG,YES,NO,NA,Stay the same as now,NA,Very good,R does not consent to possible data linkage,1,Agree
64,YES,YES,Should,Yes,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,YES,YES,ALWAYS WRONG,YES,YES,NA,Make it easier,NA,Very good,R consents to possible data linkage,1,Strongly agree
65,NA,NA,NA,Yes,No,No,No,NA,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,NA,NA,Good,R does not consent to possible data linkage,1,NA
66,NO,YES,NA,Yes,No,Yes,Yes,YES,People should be able,The government should decide,NA,It depends,Morally opposed,NO,NO,ALMOST ALWAYS WRONG,NO,NO,Very hard,Make it easier,NA,Very good,R consents to possible data linkage,1,Strongly agree
67,YES,NO,NA,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Neither easy nor hard,Stay the same as now,NA,Good,R consents to possible data linkage,1,Agree
68,YES,YES,It depends,Yes,No,No,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Morally opposed,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
69,YES,YES,It depends,Yes,No,No,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Very easy,Stay the same as now,NA,Good,R consents to possible data linkage,1,Agree
70,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,Very easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Agree
71,NA,NA,NA,No,No,No,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Fair,R consents to possible data linkage,1,NA
72,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Easy,NA,NA,Fair,R consents to possible data linkage,2,NA
73,YES,YES,Should,Yes,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,NO,NOT WRONG AT ALL,YES,NO,NA,Make it easier,NA,Very good,R does not consent to possible data linkage,2,Strongly agree
74,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NA,Very good,R does not consent to possible data linkage,1,NA
75,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,It depends,Not morally opposed,YES,YES,NA,YES,NO,Easy,Stay the same as now,NOT SELECTED,Very good,R consents to possible data linkage,3,NA
76,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Very easy,Stay the same as now,NA,Very good,R consents to possible data linkage,5,Disagree
77,YES,YES,Should,NA,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,YES,YES,NA,YES,YES,NA,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,NA
78,NA,NA,It depends,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,3,NA
79,YES,YES,Should,NA,NA,NA,NA,YES,NA,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NA,Very good,R does not consent to possible data linkage,2,NA
80,NA,NA,It depends,NA,NA,NA,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
81,YES,YES,Should,Yes,No,No,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,2,Strongly agree
82,NA,YES,NA,No,No,Yes,Yes,YES,NA,A woman and her medical professional should decide,NA,NA,NA,NA,NA,NA,YES,NA,Easy,NA,NA,Good,R does not consent to possible data linkage,2,Agree
83,NA,NA,It depends,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NA,NA,ALWAYS WRONG,NA,NA,Easy,NA,NA,Very good,R consents to possible data linkage,2,Strongly agree
84,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,3,Agree
85,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Easy,Make it easier,NA,Good,R does not consent to possible data linkage,2,NA
86,NA,NA,NA,Yes,No,No,Yes,NA,People should be able,A woman and her medical professional should decide,NA,It depends,It depends,NA,NA,ALMOST ALWAYS WRONG,NA,NA,Neither easy nor hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,Agree
87,NA,NA,Should not,No,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
88,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NA,Good,R consents to possible data linkage,2,NA
89,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,NA,NA,NA,NA,NA,Very easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
90,NA,NA,NA,Yes,No,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,Should,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,Easy,Stay the same as now,NOT SELECTED,Very good,R consents to possible data linkage,1,Strongly agree
91,NA,NA,NA,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,It depends,NA,NA,NA,NA,NA,Very easy,Stay the same as now,NOT SELECTED,Good,R consents to possible data linkage,1,NA
92,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Hard,Make it easier,NA,Very good,R consents to possible data linkage,1,Strongly agree
93,NA,NA,NA,No,Yes,No,Yes,NA,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,NA
94,NA,NA,It depends,NA,NA,NA,NA,NA,NA,NA,NA,NA,It depends,NA,NA,ALWAYS WRONG,NA,NA,Neither easy nor hard,NA,NA,NA,R does not consent to possible data linkage,3,NA
95,YES,YES,Should,Yes,No,No,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,Strongly agree
96,YES,YES,NA,Yes,Yes,No,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Hard,Make it easier,SEX W ACQUAINTANCE,Good,R consents to possible data linkage,3,NA
97,YES,YES,Should,Yes,No,No,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,YES,Easy,Make it easier,NA,Fair,R does not consent to possible data linkage,2,NA
98,NO,YES,NA,No,No,No,Yes,YES,People should not be able,The government should decide,NA,Should not,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Very easy,Stay the same as now,NA,Very good,R consents to possible data linkage,1,Strongly agree
99,NA,YES,It depends,No,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,YES,YES,NA,NA,YES,NA,NA,NA,Good,R does not consent to possible data linkage,3,NA
100,YES,YES,It depends,Yes,Yes,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,YES,Neither easy nor hard,NA,NA,Good,R does not consent to possible data linkage,1,NA
101,NO,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,It depends,NO,NO,ALWAYS WRONG,YES,NO,Easy,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,1,NA
102,NA,NA,It depends,Yes,Yes,Yes,Yes,YES,People should be able,The government should decide,NA,NA,It depends,NA,YES,NA,YES,NA,NA,Stay the same as now,NA,Good,R consents to possible data linkage,2,Agree
103,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Very easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
104,NO,NO,Should not,Yes,No,Yes,Yes,NO,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,NA,NO,NO,Very easy,Make it harder,NA,Good,R consents to possible data linkage,2,NA
105,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,It depends,NA,NA,NA,NA,NA,Very easy,Make it easier,NA,Very good,R consents to possible data linkage,1,NA
106,NO,YES,NA,No,No,No,Yes,YES,People should not be able,The government should decide,NA,It depends,Morally opposed,NO,NO,ALWAYS WRONG,YES,NO,Very easy,Stay the same as now,NA,Good,R consents to possible data linkage,1,Agree
107,NA,NA,NA,No,No,No,No,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,Morally opposed,NA,NA,NA,NA,NA,Very easy,Stay the same as now,NOT SELECTED,Very good,R consents to possible data linkage,4,NA
108,NA,NA,Should,Yes,No,No,Yes,NA,NA,NA,A woman and her medical professional should decide,NA,Not morally opposed,NA,NA,NA,NA,NA,NA,NA,NA,Fair,R does not consent to possible data linkage,1,NA
109,YES,YES,It depends,NA,No,No,Yes,YES,NA,NA,NA,NA,It depends,NO,NO,NA,YES,NO,Neither easy nor hard,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,NA
110,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Very easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
111,YES,YES,Should,Yes,No,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,1,NA
112,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,Very easy,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,Agree
113,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
114,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,NA,NA,NA,Fair,R does not consent to possible data linkage,1,NA
115,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
116,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Strongly agree
117,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should not be able,NA,The government should decide,Should,Not morally opposed,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,NA
118,NO,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NO,NO,NA,YES,NO,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
119,NO,YES,It depends,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NO,NO,NA,YES,NO,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
