Mnemonic,Description
ACQFMGO,NUMBER OF FAMILY MEMBER GOING CHURCH REGULARLY
ACQFMHME,NUMBER OF FAMILY MEMBER OWNING SECOND HOME
ACQFMHSP,NUMBER OF HISPANIC FAMILY MEMBER
ACQFMLIB,NUMBER OF LIBERAL IN FAMILY MEMBER
ACQFMLIN,NUMBER OF FAMILY MEMBER NAMED LINDA
ACQFMMRK,NUMBER OF FAMILY MEMBER NAMED MARK
ACQFMNO,NUMBER OF FAMILY MEMBER NOT GOING CHURCH
ACQFMPRI,NUMBER OF FAMILY MEMBER IN PRISON
ACQFMUNE,NUMBER OF UNEMPLOYED FAMILY MEMBER
ACQFMWHT,NUMBER OF WHITE FAMILY MEMBER
ACQGAY,NUMBER OF GAY R IS ACQUAINTED WITH
ACQGOATT,NUMBER OF REGULAR CHURCH ATTENDEE R IS ACQUAINTED WITH
ACQHISP,NUMBER OF HISPANIC R IS ACQUAINTED WITH
ACQHOME,NUMBER OF PPL OWNING SECOND HOME R IS ACQUAINTED WITH
ACQJANS,NUMBER OF JANITOR R IS ACQUAINTED WITH
ACQJOSE,NUMBER OF JOSE R IS ACQUAINTED WITH
ACQKAREN,NUMBER OF KAREN R IS ACQUAINTED WITH
ACQKEITH,NUMBER OF KEITH R IS ACQUAINTED WITH
ACQKEVIN,NUMBER OF KEVIN R IS ACQUAINTED WITH
ACQLAWS,NUMBER OF LAWYER R IS ACQUAINTED WITH
ACQLIB,NUMBER OF STRONG LIBERAL R IS ACQUAINTED WITH
ACQLINDA,NUMBER OF LINDA R IS ACQUAINTED WITH
ACQMARIA,NUMBER OF MARIA R IS ACQUAINTED WITH
ACQMARK,NUMBER OF MARK R IS ACQUAINTED WITH
ACQMILS,NUMBER OF PPL IN MILITARY SERVICE R IS ACQUAINTED WITH
ACQMYRAC,PROPORTION OF SAME RACE AS R AMONG ALL ACQUAINTANCES
ACQNHASN,NUMBER OF ASIAN IN NEIGHBORHOOD
ACQNHBLK,NUMBER OF BLACK IN NEIGHBORHOOD
ACQNHCOH,NUMBER OF COHABITING PPL IN NEIGHBORHOOD
ACQNHCON,NUMBER OF CONSERVATIVE IN NEIGHBORHOOD
ACQNHGAY,NUMBER OF GAY IN NEIGHBORHOOD
ACQNHGO,NUMBER OF REGULAR CHURCH ATTENDEE IN NEIGHBORHOOD
ACQNHHME,NUMBER OF PPL OWNING SECOND HOME IN NEIGHBORHOOD
ACQNHHSP,NUMBER OF HISPANIC IN NEIGHBORHOOD
ACQNHLIB,NUMBER OF LIBERAL IN NEIGHBORHOOD
ACQNHLIN,NUMBER OF LINDA IN NEIGHBORHOOD
ACQNHMRK,NUMBER OF MARK IN NEIGHBORHOOD
ACQNHNO,NUMBER OF NON CHURCH ATTENDEE IN NEIGHBORHOOD
ACQNHPRI,NUMBER OF PPL IN PRISON IN NEIGHBORHOOD
ACQNHUNE,NUMBER OF PPL UNEMPLOYED IN NEIGHBORHOOD
ACQNHWHT,NUMBER OF WHITE IN NEIGHBORHOOD
ACQNOATT,NUMBER OF NON CHURCH ATTENDEE R IS ACQUAINTED WITH
ACQNTSEX,R HAD SEX WITH ACQUAINTANCE LAST YEAR
ACQPRISN,NUMBER OF PPL IN PRISON R IS ACQUAINTED WITH
ACQRACHL,NUMBER OF RACHEL R IS ACQUAINTED WITH
ACQREPS,NUMBER OF REPUBLICAN R IS ACQUAINTED WITH
ACQSHAWN,NUMBER OF SHAWN R IS ACQUAINTED WITH
ACQSOCS,NUMBER OF SOCIAL WORKER R IS ACQUAINTED WITH
ACQUNEMP,NUMBER OF PPL CURRENTLY UNEMPLOYED R IS ACQUAINTED WITH
ACQVAASN,NUMBER OF ASIAN IN VOLUNTARY ASSOCIATION
ACQVABLK,NUMBER OF BLACK IN VOLUNTARY ASSOCIATION
ACQVACOH,NUMBER OF COHABITING PPL IN VOLUNTARY ASSOCIATION
ACQVACON,NUMBER OF CONSERVATIVE IN VOLUNTARY ASSOCIATION
ACQVAGAY,NUMBER OF GAY IN VOLUNTARY ASSOCIATION
ACQVAGO,NUMBER OF REGULAR CHURCH ATTENDEE IN VOLUNTARY ASSOCIATION
ACQVAHME,NUMBER OF PPL OWNING SECOND HOME IN VOLUNTARY ASSOCIATION
ACQVAHSP,NUMBER OF HISPANIC IN VOLUNTARY ASSOCIATION
ACQVALIB,NUMBER OF LIBERAL IN VOLUNTARY ASSOCIATION
ACQVALIN,NUMBER OF LINDA IN VOLUNTARY ASSOCIATION
ACQVAMRK,NUMBER OF MARK IN VOLUNTARY ASSOCIATION
ACQVANO,NUMBER OF NON CHURCH ATTENDEE IN VOLUNTARY ASSOCIATION
ACQVAPRI,NUMBER OF PPL IN PRISON IN VOLUNTARY ASSOCIATION
ACQVAUNE,NUMBER OF UNEMPLOYED PPL IN VOLUNTARY ASSOCIATION
ACQVAWHT,NUMBER OF WHITE IN VOLUNTARY ASSOCIATION
ACQWHITE,NUMBER OF WHITE R IS ACQUAINTED WITH
ACQWKASN,NUMBER OF ASIAN IN CURRENT OR PREVIOUS WORK
ACQWKBLK,NUMBER OF BLACK IN CURRENT OR PREVIOUS WORK
ACQWKCOH,NUMBER OF COHABITING PPL IN CURRENT OR PREVIOUS WORK
ACQWKCON,NUMBER OF STRONG CONSERVATIVE IN CURRENT OR PREVIOUS WORK
ACQWKGAY,NUMBER OF GAY IN CURRENT OR PREVIOUS WORK
ACQWKGO,NUMBER OF REGULAR CHURCH ATTENDEE IN CURRENT OR PREVIOUS WORK
ACQWKHME,NUMBER OF PPL OWNING SECOND HOME IN CURRENT OR PREVIOUS WORK
ACQWKHSP,NUMBER OF HISPANIC IN CURRENT OR PREVIOUS WORK
ACQWKLIB,NUMBER OF STRONG LIBERAL IN CURRENT OR PREVIOUS WORK
ACQWKLIN,NUMBER OF LINDA IN CURRENT OR PREVIOUS WORK
ACQWKMRK,NUMBER OF MARK IN CURRENT OR PREVIOUS WORK
ACQWKNO,NUMBER OF NON CHURCH ATTENDEE IN CURRENT OR PREVIOUS WORK
ACQWKPRI,NUMBER OF PPL IN PRISON IN CURRENT OR PREVIOUS WORK
ACQWKUNE,NUMBER OF PPL UNEMPLOYED IN CURRENT OR PREVIOUS WORK
ACQWKWHT,NUMBER OF WHITE IN CURRENT OR PREVIOUS WORK
ACTASSOC,HOW IMPORTANT TO BE ACTIVE ON SOC OR POL ASSOCIATION
ACTCHURH,R ACTIVE IN CHURCH GROUP
ACTFARM,R ACTIVE IN FARM ORGANIZATION
ACTFRAT,R ACTIVE IN FRATERNAL GROUP
ACTGREEK,R ACTIVE IN SCHOOL FRATERNITY
ACTHOBBY,R ACTIVE IN HOBBY CLUB
ACTLAW,HOW LIKELY R TO DO SOMETHING IF UNJUST LAW BEING CONS
ACTLIT,R ACTIVE IN LITERARY OR ART GROUP
ACTNAT,R ACTIVE IN NATIONALITY GROUP
ACTOTHER,R ACTIVE IN ANY OTHER GROUP
ACTPOLIT,R ACTIVE IN POLITICAL CLUB
ACTPROF,R ACTIVE IN PROFESSIONAL SOCIETY
ACTSCHL,R ACTIVE IN SCHOOL SERVICE
ACTSERV,R ACTIVE IN SERVICE GROUP
ACTSPORT,R ACTIVE IN SPORTS CLUB
ACTSSOC,HOW WELL R CARRIES OUT USUAL SOCIAL ACTIVITIES
ACTUNION,R ACTIVE IN LABOR UNION
ACTUPSET,PPL AT WORK THROW THINGS WHEN UPSET WITH R
ACTVET,R ACTIVE IN VETERAN GROUP
ACTYOUTH,R ACTIVE IN YOUTH GROUP
ADCOU,WOULD R GO TO COUNSELOR IF CHILD WAS R'S
ADCOUMED,WOULD R HAVE CHILD ON MED BY COUNSELOR'S ADVICE
ADDOC,WOULD GO TO A MEDICAL DOCTOR IF HE WAS R'S CHILD
ADDOCMED,WOULD HAVE CHILD BE ON MED BY DOCS ADVICE
ADFAM,WOULD R GET ADVICE FROM FAMILY IF CHILD WAS R'S
ADFAMMED,WOULD R HAVE CHILD BE ON MEDICATION BY FAM ADVICE
ADFORJOB,ADVERTISED FOR A JOB IN NEWSPAPER'S
ADHDCON,CHILDREN SHOULD BE GIVEN COUNSELING FOR ADHD
ADHDKNOW,WHAT DOES R KNOW ABOUT ADHD
ADHDKNW,WHAT DOES R KNOW ABOUT ADHD (VERBATIM)
ADHDMED,CHILDREN SHOULD BE GIVEN MEDICATION TO TREAT ADHD
ADHDREAL,IS ADHD A REAL DISEASE
ADHOS,WOULD R CHECK CHILD INTO A HOSPITAL IF WAS R'S
ADHOSMED,WOULD R HAVE CHILD BE ON MED BY HOSPITAL STAFF
ADMINCONSENT,CONSENT TO POSSIBLE DATA LINKAGE
ADMIRBLK,R EXPRESS ADMIRATION FOR BLACKS
ADOPTION,BEST WAY TO MATCH BIRTH MOTHERS WITH ADOPTERS?
ADOPTKID,HAVE EVER LEGALLY ADOPTED A CHILD
ADPSY,WOULD R GO TO A PSYCHIATRIST IF CHILD WAS R'S
ADPSYMED,WOULD R HAVE CHILD ON MED BY PSYCHIATRISTS AD
ADTCH,WOULD R GET ADVICE FROM TEACHERS CHILD IF WAS R'S
ADTCHMED,WOULD HAVE CHILD BE ON MED BY TEACHERS ADVICE
ADULTS,HOUSEHOLD MEMBERS 18 YRS AND OLDER
ADVANCES,"HAVE YOU ADVANCED, SAME LEVEL OR LOST"
ADVANTGE,OTHER PPL WILL TAKE ADVANTAGE OF R IF NOT CAREFUL
ADVCFRND,R CAN ASK CLOSE FRIEND SOFTWARE HELP
ADVCHLD,R CAN ASK SON OR DAUGHTER FOR SOFTWARE HELP
ADVCOWRK,R CAN ASK COWORKER SOFTWARE HELP
ADVFAM,R CAN ASK OTHER FAMILY MEMBERS SOFTWARE HELP
ADVFRONT,SCI RSCH IS NECESSARY AND SHOULD BE SUPPORTED BY FEDERAL GOVT
ADVISOR1,PERSON #1 IS R'S ADVISOR
ADVISOR2,PERSON #2 IS R'S ADVISOR
ADVISOR3,PERSON #3 IS R'S ADVISOR
ADVISOR4,PERSON #4 IS R'S ADVISOR
ADVISOR5,PERSON #5 IS R'S ADVISOR
ADVLIB,R CAN ASK LIBRARIAN SOFTWARE HELP
ADVOFRND,R CAN ASK ACQUAINTANCE SOFTWARE HELP
ADVPAR,R CAN ASK PARENT FOR SOFTWARE HELP
ADVSCHED,HOW FAR IN ADVANCE DO YOU SCHEDULE WORK
ADVSIB,R CAN ASK SIBLING OR SIBLING PARTNER SOFTWARE H
ADVSP,R CAN ASK SPOUSE OR PARTNER FOR SOFTWARE HELP
ADVSRCH,HOW FAMILIAR R IS WITH TERM ADVANCED SEARCH
ADVSTU,R CAN ASK OTHER STUDENT SOFTWARE HELP
ADVSUP,R CAN ASK WORK SUPERVISOR SOFTWARE HELP
ADVTCHR,R CAN ASK TEACHER SOFTWARE HELP
AFAILURE,I AM INCLINED TO FEEL I AM A FAILURE
AFFACT,R'S FIRM HAS AFF. ACTION PROGRAM
AFFCTLAW,HOW LIKELY CONGRESS GIVE SERIOUS ATTENTION TO R'S DEMANDS
AFFRMACT,FAVOR PREFERENCE IN HIRING BLACKS
AFRAIDOF,PEOPLE ACT AS IF THEY ARE AFRAID OF R
AFTERLIF,BELIEF IN LIFE AFTER DEATH
AGAPE1,WOULD SUFFER THAN LET THE ONE R LOVE SUFFER
AGAPE2,NOT HAPPY UNLESS THE ONE S HAPPINESS IS BEFORE R
AGAPE3,WILLING TO SACRIFICE WISH TO LET THE ONE ACHIEVE
AGAPE4,WOULD ENDURE ALL THINGS FOR THE ONE R LOVE
AGE,AGE OF RESPONDENT
AGE1,AGE OF PERSON #1
AGE2,AGE OF PERSON #2
AGE3,AGE OF PERSON #3
AGE4,AGE OF PERSON #4
AGE5,AGE OF PERSON #5
AGECMEUS,"IF BORN OUTSIDE USA, WHAT AGE WERE YOU WHEN YOU PERMANENTLY MOVED TO USA"
AGED,SHOULD AGED LIVE WITH THEIR CHILDREN
AGEDCHLD,SHOULD GROWN CHILDREN LIVE WITH PARENTS
AGEDPAR,SHOULD AGED LIVE WITH THEIR CHILDREN
AGEEMP,IMPORTANCE OF AGE TO PAY
AGEKDBRN,R'S AGE WHEN 1ST CHILD BORN
AGERBORN,AGE OF R AT BORN-AGAIN EXPERIENCE
AGERELEX,AGE OF R AT RELIGIOUS EXPERIENCE
AGEWED,AGE WHEN FIRST MARRIED
AGEWEDCR,R'S AGE AT CURRENT MARRIAGE
AIDAVG,GOV $ FOR STDNTS WITH AVG INC AND GRADES
AIDCOL,GOV. SHOULD ASSIST LOW-INCOME COLLEGE STUDENT
AIDHOUSE,GOV. SHOULD PROVIDE HOUSING TO POOR
AIDINDUS,GOVTS RESP: ASSIST INDUSTRIAL GROWTH
AIDKIDS,GOVTS RESP PROVIDE CHILDCARE
AIDNEEDY,GOVT MONEY FOR LOW INCOME STUDENTS
AIDOLD,GOVTS RESP: PROVIDE FOR THE ELDERLY
AIDSADS,HAVE GOVT INFO PGM ON SAFE SEX PRACTICES
AIDSAGE,AGE OF AIDS VICTIM CLOSEST TO R
AIDSAGE2,AGE OF AIDS VICTIM 2ND CLOSEST TO R
AIDSAGE3,AGE OF AIDS VICTIM 3RD CLOSEST TO R
AIDSCNDM,CONDOM CAN REDUCE AIDS
AIDSDEAD,HAS AIDS VICTIM CLOSEST TO R DIED
AIDSDED2,HAS AIDS VICTIM 2ND CLOSEST TO R DIED
AIDSDED3,HAS AIDS VICTIM 3RD CLOSEST TO R DIED
AIDSFARE,PAY AIDS VICTIMS DISABILITY BENEFITS
AIDSHLTH,HAVE GOVT PAY FOR ALL AIDS HEALTH CARE
AIDSIDS,REQUIRE AIDS VICTIMS TO WEAR ID TAGS
AIDSINSR,ALLOW INSURER'S TO TEST APPLICANT FOR AIDS
AIDSKNOW,#PEOPLE R KNOWS INFECTED WITH AIDS
AIDSLOOK,A HEALTH-LOOK PERSON MAY HAVE AIDS
AIDSMAR,HAVE TESTING FOR AIDS BEFORE MARRIAGE
AIDSMART,GOVT MONEY FOR HIGH ACHIEVING STUDENTS
AIDSRAC2,RACE OF AIDS VICTIM 2ND CLOSEST TO R
AIDSRAC3,RACE OF AIDS VICTIM 3RD CLOSEST TO R
AIDSRACE,RACE OF AIDS VICTIM CLOSEST TO R
AIDSREG,REGION OF AIDS VICTIM CLOSEST TO R
AIDSREG2,REGION OF AIDS VICTIM 2ND CLOSEST TO R
AIDSREG3,REGION OF AIDS VICTIM 3RD CLOSEST TO R
AIDSSCH,PROHIBIT AIDS-STUDENTS AT PUBLIC SCHOOLS
AIDSSEX,SEX OF AIDS VICTIM CLOSEST TO R
AIDSSEX2,SEX OF AIDS VICTIM 2ND CLOSEST TO R
AIDSSEX3,SEX OF AIDS VICTIM 3RD CLOSEST TO R
AIDSSXED,PUBLIC SCHOOLS TEACH SAFE SEX PRACTICES
AIDSWHO,R'S RELATIONSHIP TO CLOSEST AIDS VICTIM
AIDSWHO2,R'S RELATION. TO 2ND CLOSEST AIDS VICTIM
AIDSWHO3,R'S RELAT. TO 3RD CLOSEST AIDS VICTIM TO R
AIDUNEMP,GOVTS RESP: PROVIDE FOR THE UNEMPLOYED
AIMOFART,AIM OF ART
ALIENAT1,PEOPLE RUNNING COUNTRY DON'T CARE
ALIENAT2,"RICH GET RICHER, POOR POORER"
ALIENAT3,WHAT YOU THINK DOESN'T COUNT
ALIENAT4,YOU'RE LEFT OUT OF THINGS
ALIENAT5,POWERFUL PEOPLE TAKE ADVANTAGE OF YOU
ALIENAT6,PEOPLE IN WASH D.C. ARE OUT OF TOUCH
ALIKE1,HOW ALIKE: ORANGE & BANANA
ALIKE2,HOW ALIKE: DOG & LION
ALIKE3,HOW ALIKE: EYE & EAR
ALIKE4,HOW ALIKE: EGG & SEED
ALIKE5,HOW ALIKE: TABLE & CHAIR
ALIKE6,HOW ALIKE: WORK & PLAY
ALIKE7,HOW ALIKE: FLY & TREE
ALIKE8,HOW ALIKE: PRAISE & PUNISHMENT
ALLBEN,EVERYONE BENEFIT FROM TRADITIONAL FAMILY
ALLERGIC,SITUATION CAUSED BY FOOD OR CHEMICAL ALLERGIES
ALLHRT,EVERYONE HURT FROM TRADITIONAL FAMILY
ALLOFLFE,EXPERIENCE CONNECTION TO ALL OF LIFE
ALLOWCOM,ALLOW COMMUNIST TO SPEAK
ALLOWMAR,ALLOW RACIAL INTERMARRIAGE
ALLOWRAC,ALLOW RACIST TO SPEAK
AMANCSTR,HOW IMPORTANT TO HAVE AMERICAN ANCESTRY
AMBETTER,AGREE AMERICA IS A BETTER COUNTRY
AMBORNIN,HOW IMPORTANT TO HAVE BEEN BORN IN AMERICA
AMCHRSTN,HOW IMPORTANT TO BE A CHRISTIAN
AMCIT,HOW IMPORTANT TO HAVE AMERICAN CITIZENSHIP
AMCITIZN,AGREE I WOULD RATHER BE A CITIZEN OF AMERICA
AMCULT,IT IS IMPOSSIBLE TO BECOME FULLY AMERICAN
AMENGLSH,HOW IMPORTANT TO BE ABLE TO SPEAK ENGLISH
AMFEEL,HOW IMPORTANT TO FEEL AMERICAN
AMGOVT,HOW IMPORTANT TO RESPECT AMERICA'S LAWS ETC
AMICABLE,GETS ALONG WELL WITH OTHER CHILDREN
AMICABLY,GETS ALONG WITH OTHER CHILDREN-VERSION Y
AMICABLZ,GETS ALONG WITH OTHER CHILDREN-VERSION Z
AMIMP,HOW IMPORTANT IS BEING AN AMERICAN TO YOU
AMISSUE,DEGREE R INVOKES JUST AMERICAN IDENTITY
AMISSUE1,DEGREE R INVOKES PRIMARY IDENTITY AS AMERICAN
AMLIVED,HOW IMPORTANT TO HAVE LIVED IN AMERICA FOR LIFE
AMOWNWAY,AMERICA SHOULD FOLLOW ITS OWN INTERESTS
AMPROGRN,AMERICAN DOING ENOUGH TO PROTECT ENVIRONMENT
AMPROUD,R PRIDE IN BEING AMERICAN
AMPROUD1,HOW PROUD BEING AMERICAN
AMRANK,AMERICAN QUALITY OF LIFE VS OTHER INDUS. NATIONS
AMSHAMED,AGREE THERE ARE THINGS MAKE ME ASHAMED
AMSPORTS,AGREE SPORTS MAKES ME PROUD TO BE AN AMERICAN
AMTV,TV SHOULD GIVE PREFERENCE TO AMERICAN FILMS
ANCESTRS,BELIEVE IN SUPERNATURAL POWER OF DECEASED ANCESTORS
ANGRLAST,HOW LONG DID YOUR ANGER LAST?
ANGRY,FELT ANGRY AT SOMEONE?
ANGRYEV,WAS AN EVENT RECALLED?
ANGRYFAM,LAST TIME R FELT REALLY ANGRY
ANGRYGVT,LAST TIME R FELT REALLY ANGRY
ANGRYWHY,LAST TIME R FELT REALLY ANGRY
ANGRYWRK,LAST TIME R FELT REALLY ANGRY
ANHEAT,WHICH BODILY FEATURES BE BEST SUITED TO A SMALL ANIMAL LIVING IN A COLD CLIMATE
ANOMIA1,"NEXT TO HEALTH, MONEY IS MOST IMPORTANT"
ANOMIA2,WONDER IF ANYTHING IS WORTHWHILE
ANOMIA3,NO RIGHT & WRONG WAYS TO MAKE MONEY
ANOMIA4,LIVE ONLY FOR TODAY
ANOMIA5,LOT OF THE AVERAGE MAN GETTING WORSE
ANOMIA6,NOT FAIR TO BRING CHILD INTO WORLD
ANOMIA7,OFFICIALS NOT INTERESTED IN AVERAGE MAN
ANOMIA8,DON'T KNOW WHOM TO TRUST
ANOMIA9,MOST DON'T CARE WHAT HAPPENS TO OTHERS
ANRIGHTS,ANIMALS HAVE RIGHTS TOO
ANSCITST,SCIENTISTS SHLD BE ALLOWED TO DO RESEARCH ANIMALS' PAIN & INJURY
ANTESTS,OK TO TEST ON ANIMALS TO SAVE HUMANS
ANTIREL,ANTI-RELIGIOUS MATERIAL SHOULD BE BANNED
ANTIWAR,ANTI-WAR DEMONSTRATION
ANXIOUS,FELT ANXIOUS AND TENSE?
ANYDOC,CAN CHOOSE ANY DOCTOR I LIKE
APPEMPS,APPLIED DIRECTLY TO EMPLOYERS
ARCHITCT,HOW SCIENTIFIC IS ARCHITECTURE
ARREST,EVER PICKED UP OR CHARGED BY POLICE
ART30,R USE ART SITE IN PAST 30 DAYS
ARTATT,ATTENDED EXHIBIT ALONE OR WITH OTHERS
ARTATT1,ATTENDED WITH SPOUSE OR PARTNER
ARTATT2,ATTENDED WITH CHILD
ARTATT3,ATTENDED WITH FRIEND
ARTATT4,ATTENDED WITH RELATIVE
ARTATT5,ATTENDED WITH OTHER
ARTCOST,DID NOT GO DUE TO COST
ARTEXBT,DID R GO TO AN ART EXHIBIT IN LAST 12 MONTHS
ARTFREE,WAS EXHIBIT ATTENDED FREE
ARTGN,R OBTAIN INFORMATION ON ART EXHIBIT PAST YEAR
ARTGOD,THRU ART AND MUSIC WE COME CLOSER TO GOD
ARTGST,DID NOT GO BECAUSE COULDN'T FIND ANYONE TO GO WITH
ARTHRTIS,TOLD HAVE ARTHRITIS OR RHEUMATISM
ARTINFO,USE WEB TO FIND INFO ABOUT ARTISTS
ARTINT,DID NOT GO SINCE NOT OF INTEREST
ARTISTS,EXCELLENT ARTISTS ABLE SUPPORT THEMSELVES
ARTLOC,DID NOT WANT TO GO TO THAT LOCATION
ARTMOSTOTH,MOST IMP FACTOR IN NOT ATTENDING ART EXHIBIT
ARTMUS1,USE WEB TO LEARN ABOUT UPCOMING EXHIBITS
ARTMUS2,USE WEB TO LEARN ABOUT EXISTING EXHIBITS
ARTMUS3,VISIT MUSEUM AFTER LEARNING ON WEB
ARTOTHR,OTHER REASON WHY DID NOT GO
ARTSCHAT,USE CHATROOMS ABOUT ARTS
ARTSCHNG,WEB CHANGE MIND ABOUT ARTS ON WEB
ARTSEALS,EFFECT OF GLOBAL WARMING: ARCTIC SEALS ARE THREATENED
ARTSHR,HOW MANY HOURS AT ARTS WEBSITES
ARTSMIN,HOW MANY MINUTES AT ARTS WEBSITES
ARTSNEW,R LEARN SOMETHING NEW ON WEB ABOUT ARTS
ARTTIME,DID NOT GO DUE TO LACK OF TIME
ARTTRVL,DID NOT GO BECAUSE TOO DIFICULT TO GET THERE
ARTVIEW,USE WEB TO LOOK AT ART WORKS
ARTWHY1,IMP OF LOW COST IN DECISION TO ATTEND EXHIBIT
ARTWHY2,IMP OF WANTING TO EXPERIENCE HIGH QUALITY ART IN DECISION TO ATTEND EXHIBIT
ARTWHY3,IMP OF WANTING TO SOCIALIZE WITH FRIENDS OR FAM IN DECISION TO ATTEND EXHIBIT
ARTWHY4,IMP OF WANTING TO CELEBRATE CULTURAL HERITAGE IN DECISION TO ATTEND EXHIBIT
ARTWHY5,IMP OF WANTING TO SUPPORT COMMUNITY IN DECISION TO ATTEND EXHIBIT
ARTWHY6,IMP OF WANTING TO LEARN IN DECISION TO ATTEND EXHIBIT
ARTWHY7,IMP OF LOCATION IN DECISION TO ATTEND EXHIBIT
ARTWHY8,WAS THERE ANOTHER MAJOR REASON IN DECISION TO ATTEND EXHIBIT
ARTWHY9,OTHER MAJOR REASON IN DECISION TO ATTEND
ASHAMED,FELT ASHAMED OF SOMETHING YOU'D DONE?
ASKCOMP,GOVT INVESTIGATE USE OF COMPUTERS
ASKCRIME,GOVT INVESTIGATE WORKERS CRIME RECORDS
ASKDRINK,GOVT INVESTIGATE WORKERS ALCOHOL USE
ASKDRUGS,GOVT INVESTIGATE WORKERS ILLEGAL DRUG USE
ASKELSE,R ASKED SOMEONE ELSE FOR HELP
ASKFINAN,GOVT INVESTIGATE WORKERS FINANCES FOR SECURITY
ASKFORGN,GOVT INVESTIGATE WORKERS FOREIGN FAMILY
ASKFRBIZ,GOVT INVESTIGATE FOREIGN BUSINESS CONTACTS
ASKFRTRV,GOVT INVESTIGATE FOREIGN TRAVEL
